num_run,Objective,Optimization type,Power density,AEP,Layout,Iterations
99,AEP,Sequential,20,703.2771985159886,"[0, 740, 750, 770, 780, 1420, 1440, 2130, 2840, 2889, 3590, 4260, 4970, 4990, 5010, 5040]",98
99,AEP,Joint,20,704.0226928992662,"[0, 20, 780, 1440, 2130, 2160, 2190, 2910, 3550, 3580, 3600, 4064, 4970, 5010, 5030, 5040]",53
98,AEP,Sequential,20,702.0126631987702,"[20, 40, 50, 60, 70, 720, 1423, 1460, 2130, 2200, 3547, 4270, 4330, 4970, 4995, 5018]",133
98,AEP,Joint,20,707.83602524884,"[0, 40, 50, 60, 70, 585, 710, 2413, 2840, 3550, 4280, 4330, 4970, 4990, 5010, 5030]",202
97,AEP,Sequential,20,699.1926224154022,"[0, 70, 730, 780, 1420, 1460, 1490, 2359, 2393, 2626, 4280, 4290, 4320, 4330, 4970, 5040]",202
97,AEP,Joint,20,699.2602073215043,"[0, 20, 60, 740, 1430, 1470, 1490, 2130, 2190, 2840, 2910, 4260, 4290, 4330, 4970, 5010]",82
96,AEP,Sequential,20,698.8468451367252,"[0, 30, 50, 70, 760, 1420, 1470, 2150, 3495, 3550, 3600, 3620, 4320, 4970, 5030, 5040]",104
96,AEP,Joint,20,708.0295065026453,"[30, 70, 710, 770, 1440, 1460, 2130, 2200, 3550, 3590, 3620, 4260, 4280, 4972, 5020, 5040]",71
95,AEP,Sequential,20,709.7880652931116,"[0, 20, 30, 40, 60, 70, 780, 2140, 2604, 2840, 2910, 4330, 4785, 4970, 4980, 5030]",202
95,AEP,Joint,20,703.2608995828062,"[0, 70, 740, 1480, 2140, 2160, 2190, 2840, 2890, 3590, 4260, 4290, 4970, 4990, 5020, 5040]",52
94,AEP,Sequential,20,716.5233479301532,"[0, 10, 30, 70, 770, 1724, 2200, 2557, 2890, 3550, 3580, 3620, 4260, 4970, 5010, 5040]",202
94,AEP,Joint,20,701.5785444279206,"[0, 45, 60, 70, 730, 1420, 2180, 2910, 3570, 3580, 3590, 4270, 4970, 5000, 5030, 5040]",64
93,AEP,Sequential,20,701.6624218907904,"[0, 30, 70, 780, 1420, 2200, 2606, 2860, 2910, 3550, 3560, 4261, 4300, 4330, 4970, 5020]",71
93,AEP,Joint,20,706.0567751556397,"[0, 40, 70, 710, 730, 780, 1420, 1460, 2130, 2200, 2840, 3560, 3620, 4970, 4980, 5000]",101
92,AEP,Sequential,20,701.3857352748032,"[0, 40, 70, 710, 750, 1420, 1480, 2130, 2850, 2900, 3580, 4970, 4980, 5010, 5020, 5040]",52
92,AEP,Joint,20,701.3857352748032,"[0, 40, 70, 710, 750, 1420, 1480, 2130, 2850, 2900, 3580, 4970, 4980, 5010, 5020, 5040]",52
91,AEP,Sequential,20,712.3817121148883,"[0, 30, 70, 780, 1420, 1450, 2130, 2160, 2200, 3550, 3590, 4970, 4990, 5017, 5030, 5040]",202
91,AEP,Joint,20,705.5621652711075,"[0, 70, 710, 760, 780, 876, 2130, 2150, 2850, 2910, 3550, 3590, 3610, 4970, 4990, 5040]",65
90,AEP,Sequential,20,699.826270343099,"[0, 20, 50, 70, 1374, 2160, 2190, 3550, 3570, 3600, 4330, 4980, 5000, 5020, 5030, 5040]",153
90,AEP,Joint,20,698.9529414214671,"[10, 760, 780, 1490, 1521, 2130, 2150, 2850, 3550, 3610, 4290, 4970, 4988, 5020, 5030, 5040]",90
89,AEP,Sequential,20,703.5164712940946,"[10, 40, 50, 60, 70, 710, 1490, 1637, 2150, 3570, 3610, 3631, 4970, 5000, 5020, 5040]",84
89,AEP,Joint,20,708.6283637470831,"[0, 10, 50, 70, 1450, 1480, 1490, 2130, 2840, 2953, 3550, 3620, 4260, 4990, 5010, 5040]",202
