num_run,Objective,Optimization type,AEP,LCOE,Layout,Iterations
49,AEP,Sequential,2860.3134198773,-115.45798670563833,"[10, 937, 957, 977, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5129, 5149, 5164, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12774, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18126, 18161, 18201, 18241, 18261, 23238, 23258, 23318, 23333, 23353, 23431, 23461, 24501, 27811, 27851, 27887, 27907, 27927, 27935, 28158, 31295, 31315, 31335, 31350, 31390, 32185, 33947, 33967, 34007, 34027, 34040, 35574, 35594, 36154]",202
49,AEP,Joint,2873.8475712037593,-114.91424671066424,"[5, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5129, 5164, 8498, 8534, 8554, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12774, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18126, 18161, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23353, 23393, 23431, 23461, 27773, 27811, 27887, 27927, 27935, 31295, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
49,LCOE,Sequential,2870.9492402354003,-115.03025695399404,"[57, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 7167, 8498, 8574, 8634, 8670, 12679, 12699, 12719, 12734, 12754, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18106, 18141, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23333, 23353, 23373, 23393, 23431, 23461, 27773, 27793, 27831, 27867, 27907, 27935, 31284, 31295, 31315, 31350, 31390, 33947, 33967, 34007, 34027, 34040, 35594, 35813, 36154]",202
49,LCOE,Joint,2871.36191007133,-115.01372489751672,"[83, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5149, 8498, 8534, 8554, 8574, 8594, 8614, 8634, 8670, 12679, 12699, 12719, 12734, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18141, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23373, 23431, 23461, 27793, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35845, 36154]",202
48,AEP,Sequential,2864.0908168225255,-115.30571128066849,"[46, 510, 937, 977, 2639, 2659, 2675, 2695, 2715, 2734, 3933, 5049, 5069, 5109, 5149, 5182, 8534, 8574, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12756, 12789, 12849, 12889, 12909, 17997, 18017, 18106, 18161, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27811, 27831, 27867, 27927, 27935, 31295, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
48,AEP,Joint,2871.247226612305,-115.01831877981441,"[71, 937, 977, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5149, 5164, 8498, 8518, 8534, 8554, 8574, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12789, 12829, 12889, 18017, 18066, 18106, 18126, 18161, 18181, 18221, 18241, 18261, 20776, 23238, 23258, 23298, 23333, 23393, 23431, 23461, 27773, 27793, 27831, 27867, 27887, 27907, 27927, 27935, 31286, 31295, 31335, 31390, 31410, 33947, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
48,LCOE,Sequential,2864.377083722369,-115.29418758545039,"[135, 937, 957, 977, 2639, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8498, 8534, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18181, 18201, 18221, 18241, 18261, 19473, 23229, 23258, 23298, 23318, 23333, 23373, 23411, 23461, 27773, 27793, 27851, 27867, 27887, 27907, 27935, 31295, 31315, 31335, 31736, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",198
48,LCOE,Joint,2870.5591522741424,-115.0458887232898,"[8, 937, 957, 977, 2639, 2659, 2675, 2715, 2732, 5069, 5089, 5109, 5149, 8498, 8534, 8574, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18086, 18161, 18201, 18221, 18241, 18261, 23258, 23298, 23333, 23373, 23393, 23411, 23431, 23461, 23961, 27773, 27811, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",133
47,AEP,Sequential,2860.4903185685494,-115.45084654277537,"[142, 937, 957, 977, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5149, 5164, 6450, 8498, 8534, 8594, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12869, 12889, 12909, 17997, 18017, 18086, 18126, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23318, 23373, 23411, 23461, 27773, 27811, 27851, 27907, 27935, 31295, 31315, 31335, 31350, 31390, 31724, 31741, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
47,AEP,Joint,2862.4794500701637,-115.37061997006036,"[937, 957, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8534, 8574, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18126, 18141, 18161, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23353, 23431, 24188, 27793, 27811, 27851, 27887, 27927, 27935, 31276, 31295, 31315, 31335, 31370, 31390, 31410, 33947, 33967, 34007, 34040, 35574, 35594, 36154]",189
