num_run,Objective,Optimization type,Robustness,AEP,LCOE,Layout
19,AEP,Sequential,Robust objective,5021.775491744291,,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,AEP,Sequential,22 wind speeds,5197.663841939519,-63.53739657832895,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,AEP,Sequential,360 wind directions,2845.1227081496095,-116.07444130975117,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,AEP,Sequential,FLORIS yaw,2857.888212454947,,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,AEP,Sequential,Original objective,2854.7477071330723,-115.68308750401177,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,AEP,Joint,Robust objective,5032.152661248158,,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,AEP,Joint,22 wind speeds,5209.441970279216,-63.39374364668306,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,AEP,Joint,360 wind directions,2865.220369248996,-115.26025444692516,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,AEP,Joint,FLORIS yaw,2873.454737296493,,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,AEP,Joint,Original objective,2873.3471071660683,-114.93426185180527,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,LCOE,Sequential,Robust objective,,-65.73331280575361,"[62, 937, 957, 977, 1673, 2639, 2659, 2675, 2695, 2732, 5049, 5109, 5149, 5164, 8518, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 17997, 18017, 18066, 18141, 18181, 18201, 18221, 18241, 18261, 19527, 23238, 23278, 23373, 23411, 23461, 26954, 27773, 27793, 27811, 27831, 27887, 27907, 27935, 30964, 31295, 31370, 31410, 32382, 32874, 33947, 34007, 34027, 34040, 35185, 35574, 35594, 36154]"
19,LCOE,Sequential,22 wind speeds,5200.928280819285,-63.49751639992419,"[62, 937, 957, 977, 1673, 2639, 2659, 2675, 2695, 2732, 5049, 5109, 5149, 5164, 8518, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 17997, 18017, 18066, 18141, 18181, 18201, 18221, 18241, 18261, 19527, 23238, 23278, 23373, 23411, 23461, 26954, 27773, 27793, 27811, 27831, 27887, 27907, 27935, 30964, 31295, 31370, 31410, 32382, 32874, 33947, 34007, 34027, 34040, 35185, 35574, 35594, 36154]"
19,LCOE,Sequential,360 wind directions,2854.725118732357,-115.68400286217334,"[62, 937, 957, 977, 1673, 2639, 2659, 2675, 2695, 2732, 5049, 5109, 5149, 5164, 8518, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 17997, 18017, 18066, 18141, 18181, 18201, 18221, 18241, 18261, 19527, 23238, 23278, 23373, 23411, 23461, 26954, 27773, 27793, 27811, 27831, 27887, 27907, 27935, 30964, 31295, 31370, 31410, 32382, 32874, 33947, 34007, 34027, 34040, 35185, 35574, 35594, 36154]"
19,LCOE,Sequential,FLORIS yaw,,-115.40922211098204,"[62, 937, 957, 977, 1673, 2639, 2659, 2675, 2695, 2732, 5049, 5109, 5149, 5164, 8518, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 17997, 18017, 18066, 18141, 18181, 18201, 18221, 18241, 18261, 19527, 23238, 23278, 23373, 23411, 23461, 26954, 27773, 27793, 27811, 27831, 27887, 27907, 27935, 30964, 31295, 31370, 31410, 32382, 32874, 33947, 34007, 34027, 34040, 35185, 35574, 35594, 36154]"
19,LCOE,Sequential,Original objective,2860.0250542854283,-115.46962790109664,"[62, 937, 957, 977, 1673, 2639, 2659, 2675, 2695, 2732, 5049, 5109, 5149, 5164, 8518, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12869, 12889, 12909, 17997, 18017, 18066, 18141, 18181, 18201, 18221, 18241, 18261, 19527, 23238, 23278, 23373, 23411, 23461, 26954, 27773, 27793, 27811, 27831, 27887, 27907, 27935, 30964, 31295, 31370, 31410, 32382, 32874, 33947, 34007, 34027, 34040, 35185, 35574, 35594, 36154]"
19,LCOE,Joint,Robust objective,,-65.69922020863075,"[87, 937, 957, 977, 2639, 2659, 2715, 2732, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8554, 8594, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18106, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27831, 27867, 27927, 27935, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,LCOE,Joint,22 wind speeds,5204.709363791939,-63.45138714249904,"[87, 937, 957, 977, 2639, 2659, 2715, 2732, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8554, 8594, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18106, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27831, 27867, 27927, 27935, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,LCOE,Joint,360 wind directions,2855.192095784819,-115.66508232272757,"[87, 937, 957, 977, 2639, 2659, 2715, 2732, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8554, 8594, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18106, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27831, 27867, 27927, 27935, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,LCOE,Joint,FLORIS yaw,,-115.28596070706752,"[87, 937, 957, 977, 2639, 2659, 2715, 2732, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8554, 8594, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18106, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27831, 27867, 27927, 27935, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,LCOE,Joint,Original objective,2864.290219038757,-115.2976840862799,"[87, 937, 957, 977, 2639, 2659, 2715, 2732, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8554, 8594, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18106, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27831, 27867, 27927, 27935, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,AEP,Sequential,Robust objective,5029.9506585321615,,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,AEP,Sequential,22 wind speeds,5207.387501894069,-63.41875435350884,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,AEP,Sequential,360 wind directions,2860.9656334721008,-115.43166577829943,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
