num_run,Yaw optimization type,Joint/Sequential,AEP,LCOE,Layout
19,None,Sequential,2605.871776876526,-126.73149605311534,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,geometric_yaw_Stanley,Sequential,2802.079386416711,-117.85748484038119,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,geometric_yaw_Jong,Sequential,2854.7477071330723,-115.46962790109664,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,yaw_optimizer_floris,Sequential,2857.888212454947,-115.40922211098204,"[23, 937, 977, 2639, 2675, 2695, 2715, 2732, 5049, 5089, 5109, 5129, 5149, 5164, 8518, 8534, 8614, 8634, 8670, 12679, 12699, 12719, 12754, 12789, 12809, 12849, 12869, 12889, 12909, 17997, 18046, 18086, 18106, 18141, 18181, 18201, 18221, 18261, 23238, 23258, 23278, 23298, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27831, 27907, 27935, 31315, 31335, 31370, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
19,None,Joint,2629.3867265368663,-125.59811969581028,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,geometric_yaw_Stanley,Joint,2823.9902002799818,-116.9430505719921,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,geometric_yaw_Jong,Joint,2873.3471071660683,-115.2976840862799,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
19,yaw_optimizer_floris,Joint,2873.454737296493,-115.28596070706752,"[28, 937, 957, 977, 2639, 2695, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8518, 8594, 8634, 8670, 12679, 12699, 12719, 12754, 12774, 12789, 12809, 12829, 12849, 12889, 12909, 17997, 18017, 18046, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27811, 27935, 31295, 31315, 31335, 31370, 31390, 31410, 31432, 33987, 34007, 34027, 34040, 34351, 35574, 35594, 36154]"
18,None,Sequential,2637.7452167510796,-125.20012422311102,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,geometric_yaw_Stanley,Sequential,2822.123892048139,-117.02038657363056,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,geometric_yaw_Jong,Sequential,2869.612549129118,-115.12388832304266,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,yaw_optimizer_floris,Sequential,2870.155837145646,-115.00163027419762,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
